層級,公司,Ticker,幣別,股價,前收市,52週高,52週低,52週變化%,年初至今%,報價時間(UTC),監察重點,備註
Tier 1｜賺錢現金流,Intuitive Surgical,ISRG,USD,398.3,,603.88,328.57,-11.0,-29.1,2026-09-23 20:00,下次業績 2026-10-20,
Tier 1｜賺錢現金流,Deere & Company,DE,USD,709.48,,721.22,433.0,50.4,52.0,2026-09-23 20:00,ex-div 2026-09-30,
Tier 1｜賺錢現金流,Keyence,6861.T,JPY,77270.0,,87920.0,51510.0,38.6,35.1,2026-09-24 06:30,,
Tier 1｜賺錢現金流,FANUC,6954.T,JPY,6021.0,,8880.0,4096.0,40.2,-4.5,2026-09-24 06:30,,
Tier 1｜賺錢現金流,Yaskawa,6506.T,JPY,4507.0,,7915.0,3042.0,44.3,-9.2,2026-09-24 06:30,,
Tier 1｜賺錢現金流,Hesai Group,HSAI,USD,16.31,,30.15,14.29,-44.2,-32.3,2026-09-23 20:00,52週-45%：等週期修復,
Tier 1｜賺錢現金流,Zebra Technologies,ZBRA,USD,371.02,,386.23,199.05,18.1,49.4,2026-09-23 20:00,,
Tier 1｜賺錢現金流,Stryker,SYK,USD,273.4,,392.55,267.0,-26.8,-21.5,2026-09-23 20:00,,
Tier 1｜賺錢現金流,Medtronic,MDT,USD,89.3,,106.33,73.31,-6.0,-7.0,2026-09-23 20:00,,
Tier 1｜賺錢現金流,Roborock 石頭科技,688169.SS,CNY,114.6,,214.9,89.53,-43.0,-26.6,2026-09-24 07:00,,
Tier 2｜啱啱轉賺,Symbotic,SYM,USD,43.69,,87.88,37.68,-19.4,-32.6,2026-09-23 20:00,backlog轉化率 + 毛利（現21%）,
Tier 2｜啱啱轉賺,Ouster,OUST,USD,39.38,,63.79,16.4,19.0,68.5,2026-09-23 20:00,,
Tier 3｜高增長燒錢,Tempus AI,TEM,USD,76.59,,104.32,40.77,-9.0,22.8,2026-09-23 20:00,短倉佔流通股16.3%,
Tier 3｜高增長燒錢,Aurora Innovation,AUR,USD,6.32,,8.565,3.6,3.1,63.3,2026-09-23 20:00,,
Tier 3｜高增長燒錢,Serve Robotics,SERV,USD,4.31,,18.64,4.17,-67.3,-63.6,2026-09-23 20:00,,
Tier 3｜高增長燒錢,Butterfly Network,BFLY,USD,9.2,,10.05,1.865,351.0,145.3,2026-09-23 20:00,,
鏟仔｜供應鏈/平台,NVIDIA,NVDA,USD,225.51,,236.54,164.27,26.4,19.4,2026-09-23 20:00,$500B backlog（係訂單唔係收入）,
鏟仔｜供應鏈/平台,Qualcomm,QCOM,USD,197.24,,259.92,121.99,16.3,14.0,2026-09-23 20:00,,
分發/母公司,Alphabet,GOOGL,USD,337.83,,408.61,235.84,34.2,7.2,2026-09-23 20:00,業績 2026-10-28；FCF $53B,
分發/母公司,Uber,UBER,USD,69.42,,101.295,65.41,-29.0,-16.2,2026-09-23 20:00,,
